layout,step,condition,repeat,completed,ticks,duration_s,fits_gametime,decisions,orders_delivered,orders_total,sparse_reward,horizon_hit,ticks_per_ai_action,coop,fps,seed
test01,,,0,True,961,96.1,False,241,6,6,29.0,False,4,True,10.0,0
test01,,,1,True,961,96.1,False,241,6,6,29.0,False,4,True,10.0,1
test01,,,2,True,961,96.1,False,241,6,6,29.0,False,4,True,10.0,2
test01,,,3,True,961,96.1,False,241,6,6,29.0,False,4,True,10.0,3
test01,,,4,True,961,96.1,False,241,6,6,29.0,False,4,True,10.0,4
test01_180,,,0,True,941,94.1,False,236,6,6,29.0,False,4,True,10.0,0
test01_180,,,1,True,941,94.1,False,236,6,6,29.0,False,4,True,10.0,1
test01_180,,,2,True,941,94.1,False,236,6,6,29.0,False,4,True,10.0,2
test01_180,,,3,True,941,94.1,False,236,6,6,29.0,False,4,True,10.0,3
test01_180,,,4,True,941,94.1,False,236,6,6,29.0,False,4,True,10.0,4
test01_90,,,0,True,933,93.3,False,234,6,6,29.0,False,4,True,10.0,0
test01_90,,,1,True,933,93.3,False,234,6,6,29.0,False,4,True,10.0,1
test01_90,,,2,True,933,93.3,False,234,6,6,29.0,False,4,True,10.0,2
test01_90,,,3,True,933,93.3,False,234,6,6,29.0,False,4,True,10.0,3
test01_90,,,4,True,933,93.3,False,234,6,6,29.0,False,4,True,10.0,4
test02,,,0,True,1225,122.5,False,307,6,6,33.0,False,4,True,10.0,0
test02,,,1,True,1225,122.5,False,307,6,6,33.0,False,4,True,10.0,1
test02,,,2,True,1225,122.5,False,307,6,6,33.0,False,4,True,10.0,2
test02,,,3,True,1225,122.5,False,307,6,6,33.0,False,4,True,10.0,3
test02,,,4,True,1225,122.5,False,307,6,6,33.0,False,4,True,10.0,4
test02_180,,,0,True,1273,127.3,False,319,6,6,33.0,False,4,True,10.0,0
test02_180,,,1,True,1273,127.3,False,319,6,6,33.0,False,4,True,10.0,1
test02_180,,,2,True,1273,127.3,False,319,6,6,33.0,False,4,True,10.0,2
test02_180,,,3,True,1273,127.3,False,319,6,6,33.0,False,4,True,10.0,3
test02_180,,,4,True,1273,127.3,False,319,6,6,33.0,False,4,True,10.0,4
test02_90,,,0,True,1229,122.9,False,308,6,6,33.0,False,4,True,10.0,0
test02_90,,,1,True,1229,122.9,False,308,6,6,33.0,False,4,True,10.0,1
test02_90,,,2,True,1229,122.9,False,308,6,6,33.0,False,4,True,10.0,2
test02_90,,,3,True,1229,122.9,False,308,6,6,33.0,False,4,True,10.0,3
test02_90,,,4,True,1229,122.9,False,308,6,6,33.0,False,4,True,10.0,4
test03,,,0,True,1249,124.9,False,313,6,6,32.0,False,4,True,10.0,0
test03,,,1,True,1249,124.9,False,313,6,6,32.0,False,4,True,10.0,1
test03,,,2,True,1249,124.9,False,313,6,6,32.0,False,4,True,10.0,2
test03,,,3,True,1249,124.9,False,313,6,6,32.0,False,4,True,10.0,3
test03,,,4,True,1249,124.9,False,313,6,6,32.0,False,4,True,10.0,4
test03_180,,,0,True,1297,129.7,False,325,6,6,32.0,False,4,True,10.0,0
test03_180,,,1,True,1297,129.7,False,325,6,6,32.0,False,4,True,10.0,1
test03_180,,,2,True,1297,129.7,False,325,6,6,32.0,False,4,True,10.0,2
test03_180,,,3,True,1297,129.7,False,325,6,6,32.0,False,4,True,10.0,3
test03_180,,,4,True,1297,129.7,False,325,6,6,32.0,False,4,True,10.0,4
test03_90,,,0,True,1249,124.9,False,313,6,6,32.0,False,4,True,10.0,0
test03_90,,,1,True,1249,124.9,False,313,6,6,32.0,False,4,True,10.0,1
test03_90,,,2,True,1249,124.9,False,313,6,6,32.0,False,4,True,10.0,2
test03_90,,,3,True,1249,124.9,False,313,6,6,32.0,False,4,True,10.0,3
test03_90,,,4,True,1249,124.9,False,313,6,6,32.0,False,4,True,10.0,4
test04,,,0,True,1353,135.3,False,339,6,6,37.0,False,4,True,10.0,0
test04,,,1,True,1353,135.3,False,339,6,6,37.0,False,4,True,10.0,1
test04,,,2,True,1353,135.3,False,339,6,6,37.0,False,4,True,10.0,2
test04,,,3,True,1353,135.3,False,339,6,6,37.0,False,4,True,10.0,3
